0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ano,Grau acadêmico,Ingressos Total,,,,,,,,,,,,,,,,,,,,,,,,Ano,Grau acadêmico,Concluintes em Cursos de Graduação,,,,,,,,,,,,,,,,,,,,,,,
,,Total Geral,,,,,,,,Presencial,,,,,,,,A distância,,,,,,,,,,Total Geral,,,,,,,,Modalidade de Ensino,,,,,,,,,,,,,,,
,,Total,Pública,,,,Privada,,,Total,Pública,,,,Privada,,,Total,Pública,,,,Privada ,,,,,,,,,,,,,Presencial,,,,,,,,A distância,,,,,,,
,,,Total,Federal,Estadual,Municipal,Total,Privada com fins,Privada sem fins,,Total,Federal,Estadual,Municipal,Total,Privada com fins,Privada sem fins,,Total,Federal,Estadual,Municipal,Total,Privada com fins,Privada sem fins,,,Total,Pública,,,,Privada,,,Total,Pública,,,,Privada,,,Total,Pública,,,,Privada,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total,Federal,Estadual,Municipal,Total,Privada com fins,Privada sem fins,,Total,Federal,Estadual,Municipal,Total,Privada com fins,Privada sem fins,,Total,Federal,Estadual,Municipal,Total,Privada com fins,Privada sem fins
,Licenciatura,731682,159556,95475,59450,4631,572126,449853,122273,245752,136620,85221,47468,3931,109132,62492,46640,485930,22936,10254,11982,700,462994,387361,75633,,Licenciatura,243279,54889,31004,21040,2845,188390,131512,56878,94816,43832,24161,17112,2559,50984,25431,25553,148463,11057,6843,3928,286,137406,106081,31325
,Tecnológico,820711,69414,30981,37056,1377,751297,619958,131339,269817,65305,28582,35596,1127,204512,142317,62195,550894,4109,2399,1460,250,546785,477641,69144,,Tecnológico,269860,22503,7669,14178,656,247357,195277,52080,105429,18177,6012,11555,610,87252,57124,30128,164431,4326,1657,2623,46,160105,138153,21952
,Não aplicável,18772,18273,13310,4963,0,499,94,405,18772,18273,13310,4963,0,499,94,405,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2021,Total,1327188,219342,128771,76244,14327,1107846,765812,342034,842047,197365,116757,66742,13866,644682,368488,276194,485141,21977,12014,9502,461,463164,397324,65840
2020,Total,3765475,527006,342526,163295,21185,3238469,2600418,638051,1756496,478706,321709,137308,19689,1277790,830015,447775,2008979,48300,20817,25987,1496,1960679,1770403,190276,,Bacharelado,762180,132546,85044,36251,11251,629634,387348,242286,657383,129130,82625,35294,11211,528253,299710,228543,104797,3416,2419,957,40,101381,87638,13743
,Bacharelado,2073519,296147,211348,68936,15863,1777372,1340172,437200,1331865,283494,207322,60511,15661,1048371,676599,371772,741654,12653,4026,8425,202,729001,663573,65428,,Licenciatura,283561,63362,35565,25275,2522,220199,169216,50983,93850,47892,26597,19133,2162,45958,24130,21828,189711,15470,8968,6142,360,174241,145086,29155
,Licenciatura,695790,150941,92549,54361,4031,544849,464762,80087,186159,117696,77639,37072,2985,68463,40049,28414,509631,33245,14910,17289,1046,476386,424713,51673,,Tecnológico,281447,23434,8162,14718,554,258013,209248,48765,90814,20343,7535,12315,493,70471,44648,25823,190633,3091,627,2403,61,187542,164600,22942
,Tecnológico,980164,64868,28237,35340,1291,915296,795341,119955,222505,62466,26356,35067,1043,160039,113224,46815,757659,2402,1881,273,248,755257,682117,73140,,,,,,,,,,,,,,,,,,,,,,,,,,
,Não aplicável,16002,15050,10392,4658,0,952,143,809,15967,15050,10392,4658,0,917,143,774,35,0,0,0,0,35,0,35,2022,Total,1287761,239079,142853,82608,13618,1048682,735377,313305,803622,221695,134693,73687,13315,581927,337975,243952,483834,17079,8160,8616,303,466755,397402,69353
,,,,,,,,,,,,,,,,,,,,,,,,,,,Bacharelado,755110,148376,96560,40687,11129,606734,379315,227419,641571,144246,94518,38645,11083,497325,288178,209147,113234,3825,2042,1737,46,109409,91137,18272
2021,Total,3944897,492141,320759,151226,20156,3452756,2833486,619270,1467523,449719,299384,131239,19096,1017804,625314,392490,2477374,42422,21375,19987,1060,2434952,2208172,226780,,Licenciatura,257581,66928,36712,28243,1973,190653,145650,45003,91638,55094,31269,22058,1767,36544,18869,17675,165943,11834,5443,6185,206,154109,126781,27328
,Bacharelado,2152519,281271,200065,64865,16341,1871248,1451123,420125,1157784,270581,195874,58719,15988,887203,547257,339946,994735,10690,4191,6146,353,984045,903866,80179,,Tecnológico,275070,23775,9581,13678,516,251295,210412,40883,70413,22355,8906,12984,465,48058,30928,17130,204657,1420,675,694,51,203237,179484,23753
,Licenciatura,606529,126631,81932,42323,2376,479898,408971,70927,138612,104153,69257,32963,1933,34459,17267,17192,467917,22478,12675,9360,443,445439,391704,53735,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tecnológico,1168776,69025,28760,38893,1372,1099751,973110,126641,154376,59771,24251,34412,1108,94605,60508,34097,1014400,9254,4509,4481,264,1005146,912602,92544,2023,Total,1374669,257214,155069,89597,12548,1117455,819030,298425,783385,236798,147811,76821,12166,546587,318207,228380,591284,20416,7258,12776,382,570868,500823,70045
,Não aplicável,17073,15214,10002,5145,67,1859,282,1577,16751,15214,10002,5145,67,1537,282,1255,322,0,0,0,0,322,0,322,,Bacharelado,794322,161561,106531,44957,10073,632761,414963,217798,630163,155962,105412,40523,10027,474201,276136,198065,164159,5599,1119,4434,46,158560,138827,19733
,,,,,,,,,,,,,,,,,,,,,,,,,,,Licenciatura,232498,69815,37812,30133,1870,162683,129927,32756,85129,57984,33758,22596,1630,27145,14141,13004,147369,11831,4054,7537,240,135538,115786,19752
2022,Total,4756728,525400,322122,177115,26163,4231328,3527979,703349,1656172,457462,299545,133349,24568,1198710,766135,432575,3100556,67938,22577,43766,1595,3032618,2761844,270774,,Tecnológico,347849,25838,10726,14507,605,322011,274140,47871,68093,22852,8641,13702,509,45241,27930,17311,279756,2986,2085,805,96,276770,246210,30560
,Bacharelado,2554237,303245,199857,82976,20412,2250992,1789602,461390,1308460,277103,196228,61034,19841,1031357,662931,368426,1245777,26142,3629,21942,571,1219635,1126671,92964,,,,,,,,,,,,,,,,,,,,,,,,,,
,Licenciatura,789115,134786,82497,49037,3252,654329,567941,86388,145987,104918,69730,32530,2658,41069,21368,19701,643128,29868,12767,16507,594,613260,546573,66687,Fonte: Mec/Inep, Tabela elaborada por Inep/Deed,,,,,,,,,,,,,,,,,,,,,,,,
,Tecnológico,1384317,72043,29473,40355,2215,1312274,1161636,150638,182143,60115,23292,35038,1785,122028,80073,41955,1202174,11928,6181,5317,430,1190246,1081563,108683,,,,,,,,,,,,,,,,,,,,,,,,,,
,Não aplicável,29059,15326,10295,4747,284,13733,8800,4933,19582,15326,10295,4747,284,4256,1763,2493,9477,0,0,0,0,9477,7037,2440,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Total,4993992,569089,353668,188068,27353,4424903,3696057,728846,1679590,481578,311651,144091,25836,1198012,751444,446568,3314402,87511,42017,43977,1517,3226891,2944613,282278,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bacharelado,2656550,312440,208424,82784,21232,2344110,1860765,483345,1313608,289886,202669,66610,20607,1023722,645453,378269,1342942,22554,5755,16174,625,1320388,1215312,105076,,,,,,,,,,,,,,,,,,,,,,,,,,
,Licenciatura,827285,160083,100268,56902,2913,667202,587294,79908,155954,112340,71971,37800,2569,43614,23512,20102,671331,47743,28297,19102,344,623588,563782,59806,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tecnológico,1473062,80239,33372,44006,2861,1392823,1234313,158510,188116,63025,25407,35305,2313,125091,80133,44958,1284946,17214,7965,8701,548,1267732,1154180,113552,,,,,,,,,,,,,,,,,,,,,,,,,,
,Não aplicável,37095,16327,11604,4376,347,20768,13685,7083,21912,16327,11604,4376,347,5585,2346,3239,15183,0,0,0,0,15183,11339,3844,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fonte: Mec/Inep, Tabela elaborada por Inep/Deed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
