"Tabela 3.04 – Número de Ingressos Total em Cursos de Graduação, por Modalidade de Ensino e Categoria Administrativa, segundo o Grau Acadêmico – Brasil – 2013-2023",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Ano,Grau acadêmico,Ingressos Total,,,,,,,,,,,,,,,,,,,,,,,
,,Total Geral,,,,,,,,Presencial,,,,,,,,A distância,,,,,,,
,,Total,Pública,,,,Privada,,,Total,Pública,,,,Privada,,,Total,Pública,,,,Privada ,,
,,,Total,Federal,Estadual,Municipal,Total,Privada com fins,Privada sem fins,,Total,Federal,Estadual,Municipal,Total,Privada com fins,Privada sem fins,,Total,Federal,Estadual,Municipal,Total,Privada com fins,Privada sem fins
,,,,,,,,,,,,,,,,,,,,,,,,,
,Bacharelado,"2,152,519","281,271","200,065","64,865","16,341","1,871,248","1,451,123","420,125","1,157,784","270,581","195,874","58,719","15,988","887,203","547,257","339,946","994,735","10,690","4,191","6,146",353,"984,045","903,866","80,179"
,Licenciatura,"606,529","126,631","81,932","42,323","2,376","479,898","408,971","70,927","138,612","104,153","69,257","32,963","1,933","34,459","17,267","17,192","467,917","22,478","12,675","9,360",443,"445,439","391,704","53,735"
,Tecnológico,"1,168,776","69,025","28,760","38,893","1,372","1,099,751","973,110","126,641","154,376","59,771","24,251","34,412","1,108","94,605","60,508","34,097","1,014,400","9,254","4,509","4,481",264,"1,005,146","912,602","92,544"
,Não aplicável,"17,073","15,214","10,002","5,145",67,"1,859",282,"1,577","16,751","15,214","10,002","5,145",67,"1,537",282,"1,255",322,0,0,0,0,322,0,322
2022,Total,"4,756,728","525,400","322,122","177,115","26,163","4,231,328","3,527,979","703,349","1,656,172","457,462","299,545","133,349","24,568","1,198,710","766,135","432,575","3,100,556","67,938","22,577","43,766","1,595","3,032,618","2,761,844","270,774"
,Bacharelado,"2,554,237","303,245","199,857","82,976","20,412","2,250,992","1,789,602","461,390","1,308,460","277,103","196,228","61,034","19,841","1,031,357","662,931","368,426","1,245,777","26,142","3,629","21,942",571,"1,219,635","1,126,671","92,964"
,Licenciatura,"789,115","134,786","82,497","49,037","3,252","654,329","567,941","86,388","145,987","104,918","69,730","32,530","2,658","41,069","21,368","19,701","643,128","29,868","12,767","16,507",594,"613,260","546,573","66,687"
,Tecnológico,"1,384,317","72,043","29,473","40,355","2,215","1,312,274","1,161,636","150,638","182,143","60,115","23,292","35,038","1,785","122,028","80,073","41,955","1,202,174","11,928","6,181","5,317",430,"1,190,246","1,081,563","108,683"
,Não aplicável,"29,059","15,326","10,295","4,747",284,"13,733","8,800","4,933","19,582","15,326","10,295","4,747",284,"4,256","1,763","2,493","9,477",0,0,0,0,"9,477","7,037","2,440"
2023,Total,"4,993,992","569,089","353,668","188,068","27,353","4,424,903","3,696,057","728,846","1,679,590","481,578","311,651","144,091","25,836","1,198,012","751,444","446,568","3,314,402","87,511","42,017","43,977","1,517","3,226,891","2,944,613","282,278"
,Bacharelado,"2,656,550","312,440","208,424","82,784","21,232","2,344,110","1,860,765","483,345","1,313,608","289,886","202,669","66,610","20,607","1,023,722","645,453","378,269","1,342,942","22,554","5,755","16,174",625,"1,320,388","1,215,312","105,076"
,Licenciatura,"827,285","160,083","100,268","56,902","2,913","667,202","587,294","79,908","155,954","112,340","71,971","37,800","2,569","43,614","23,512","20,102","671,331","47,743","28,297","19,102",344,"623,588","563,782","59,806"
,Tecnológico,"1,473,062","80,239","33,372","44,006","2,861","1,392,823","1,234,313","158,510","188,116","63,025","25,407","35,305","2,313","125,091","80,133","44,958","1,284,946","17,214","7,965","8,701",548,"1,267,732","1,154,180","113,552"
,Não aplicável,"37,095","16,327","11,604","4,376",347,"20,768","13,685","7,083","21,912","16,327","11,604","4,376",347,"5,585","2,346","3,239","15,183",0,0,0,0,"15,183","11,339","3,844"
,,,,,,,,,,,,,,,,,,,,,,,,,
Fonte: Mec/Inep; Tabela elaborada por Inep/Deed,,,,,,,,,,,,,,,,,,,,,,,,,
